n_gram,freqz.x,probz.x,correctness.x,probzSmooth.x,freqz.y,probz.y,correctness.y,probzSmooth.y,oddsR,numerical_format,Ngrams,CountFreq,CountProb,CountNGRAMS,SE,OR,Lower,Upper,Sig,Frequency
FB,8,0.002698145,incorrect,0.002979146,1,0.003154574,correct,0.00536193,0.554282869,probability,2,2965,317,56,0.783669914,0.554282869,0.119304866,2.575163178,N,8
FC,55,0.018549747,incorrect,0.018536908,8,0.025236593,correct,0.024128686,0.763874836,probability,2,2965,317,56,0.363390664,0.763874836,0.374712193,1.55720784,N,55
FD,8,0.002698145,incorrect,0.002979146,2,0.006309148,correct,0.008042895,0.368525896,probability,2,2965,317,56,0.668938826,0.368525896,0.099324363,1.3673517,N,8
FE,95,0.032040472,incorrect,0.031777557,3,0.009463722,correct,0.010723861,3.027692308,probability,2,2965,317,56,0.5132919,3.027692308,1.107105101,8.280081719,Y,95
FG,170,0.057335582,incorrect,0.056603774,20,0.063091483,correct,0.056300268,1.005714286,probability,2,2965,317,56,0.238031063,1.005714286,0.630751784,1.603580442,N,170
FH,29,0.009780776,incorrect,0.009930487,1,0.003154574,correct,0.00536193,1.860581745,probability,2,2965,317,56,0.732368137,1.860581745,0.442837522,7.817233759,N,29
GA,5,0.001686341,incorrect,0.001986097,2,0.006309148,correct,0.008042895,0.245439469,probability,2,2965,317,56,0.709249165,0.245439469,0.061125064,0.985529164,Y,5
GB,5,0.001686341,incorrect,0.001986097,0,0,correct,0.002680965,0.740298507,probability,2,2965,317,56,1.081520464,0.740298507,0.088878777,6.166172613,N,5
GC,35,0.011804384,incorrect,0.011916584,4,0.012618297,correct,0.013404826,0.887638191,probability,2,2965,317,56,0.480447893,0.887638191,0.346154895,2.276153161,N,35
GD,5,0.001686341,incorrect,0.001986097,1,0.003154574,correct,0.00536193,0.369154229,probability,2,2965,317,56,0.81834819,0.369154229,0.074236212,1.835692315,N,5
GE,9,0.003035413,incorrect,0.003310162,0,0,correct,0.002680965,1.235469944,probability,2,2965,317,56,1.050247727,1.235469944,0.157704204,9.678790676,N,9
GF,111,0.037436762,incorrect,0.037073817,8,0.025236593,correct,0.024128686,1.557159772,probability,2,2965,317,56,0.350899838,1.557159772,0.782782673,3.097598658,N,111
GH,75,0.02529511,incorrect,0.025157233,12,0.03785489,correct,0.034852547,0.714640199,probability,2,2965,317,56,0.305283979,0.714640199,0.392847933,1.300021129,N,75
HA,93,0.031365936,incorrect,0.031115525,10,0.031545741,correct,0.029490617,1.056868652,probability,2,2965,317,56,0.323498789,1.056868652,0.560600251,1.992456025,N,93
HB,42,0.014165261,incorrect,0.014233697,6,0.018927445,correct,0.018766756,0.754964981,probability,2,2965,317,56,0.411316172,0.754964981,0.337137773,1.690620774,N,42
HC,63,0.021247892,incorrect,0.021185038,7,0.022082019,correct,0.021447721,0.987487318,probability,2,2965,317,56,0.379081662,0.987487318,0.4697326,2.075928313,N,63
HD,21,0.007082631,incorrect,0.007282357,2,0.006309148,correct,0.008042895,0.904746026,probability,2,2965,317,56,0.61791911,0.904746026,0.269490413,3.037456375,N,21
HE,11,0.003709949,incorrect,0.003972195,3,0.009463722,correct,0.010723861,0.367896311,probability,2,2965,317,56,0.579979049,0.367896311,0.118042201,1.146604299,N,11
HF,13,0.004384486,incorrect,0.004634227,2,0.006309148,correct,0.008042895,0.574215719,probability,2,2965,317,56,0.638589982,0.574215719,0.164246571,2.007492093,N,13
HG,26,0.008768971,incorrect,0.008937438,2,0.006309148,correct,0.008042895,1.112224449,probability,2,2965,317,56,0.611070433,1.112224449,0.335767598,3.684224542,N,26
